Defter;Place of origin;Migration;location_1;latitude_1;longitude_1;date_hijri_1;date_gregorian_1;location_2;latitude_2;longitude_2;date_hijri_2;date_gregorian_2;location_3;latitude_3;longitude_3;date_hijri_3;date_gregorian_3;location_4;latitude_4;longitude_4;date_hijri_4;date_gregorian_4;location_5;latitude_5;longitude_5;date_hijri_5;date_gregorian_5;location_6;latitude_6;longitude_6;date_hijri_6;date_gregorian_6;location_7;latitude_7;longitude_7;date_hijri_7;date_gregorian_7;location_8;latitude_8;longitude_8;date_hijri_8;date_gregorian_8;location_9;latitude_9;longitude_9;date_hijri_9;date_gregorian_9;location_10;latitude_10;longitude_10;date_hijri_10;date_gregorian_10;location_11;latitude_11;longitude_11;date_hijri_11;date_gregorian_11;location_12;latitude_12;longitude_12;date_hijri_12;date_gregorian_12;location_13;latitude_13;longitude_13;date_hijri_13;date_gregorian_13;location_14;latitude_14;longitude_14;date_hijri_14;date_gregorian_14
Defter 2291;Asitane;Kemer, 18 Za. 1270;Tatavla;41,06;28,98;;;Kemer;41,06;28,98;18 Za. 1270;09/21/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2299;;İzmid, 18 Za. 1264;Tatavla;41,06;28,98;;;İzmid;40,77;29,93;18 Za. 1264;10/12/1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2316;;Varna, 21 L. 1271;Tatavla;41,06;28,98;;;Varna;43,21;27,91;21 L. 1271;07/14/1855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2319;Asitane;Edirne, 20.Ra.1266;Tatavla;41,06;28,98;;;Edirne;41,68;26,56;20 Ra. 1266;02/12/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2323;;Kudüsi Şerif, bu dahi;Tatavla;41,06;28,98;;;Kudüsi Şerif;31,77;35,22;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2326;;İzmir, 18 C. 1270;Tatavla;41,06;28,98;;;İzmir;38,42;27,14;18 C. 1270;03/14/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2329;;"Silivri, 3.N.1264; amed, 3 Za.1266; Silivri, 3.Za.1266; amed, 23.Za.1266";Tatavla;41,06;28,98;;;Silivri;41,07;28,25;3 N. 1264;07/01/1848;Tatavla;41,06;28,98;3 Za. 1266;09/14/1850;Silivri;41,07;28,25;3 Za. 1266;09/14/1850;Tatavla;41,06;28,98;23 Za. 1266;10/04/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2339;;Tuzla, 14.Ş. 1260;Tatavla;41,06;28,98;;;Tuzla;40,87;29,31;14 Ş. 1260;08/28/1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2348;;Silivri, Not a date provided;Tatavla;41,06;28,98;;;Silivri;41,07;28,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2350;;"Kalei Sultani, 18.Ş.1260; Amed, 25.S.1261";Tatavla;41,06;28,98;;;Kalei Sultani;40,15;26,41;18 Ş. 1260;09/01/1844;Tatavla;41,06;28,98;25 S. 1261;03/10/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2356;Zağra;Çekmecei Sagir, 1 Z. 1260;Tatavla;41,06;28,98;;;Çekmecei Sagir;41;28,78;1 Z. 1260;11/12/1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2357;Asitane;"Ekinlik, 9 Z. 1260; Amed, 4 Ra. 1261";Tatavla;41,06;28,98;;;Ekinlik;40,52;27,48;9 Z. 1260;11/20/1844;Tatavla;41,06;28,98;4 Ra. 1261;02/16/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2362;;Silivri, 24.Z. 1271;Tatavla;41,06;28,98;;;Silivri;41,07;28,25;24 Z. 1271;09/15/1855;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2363;Asitane;Gelibolu, Unknown Date;Tatavla;41,06;28,98;;;Gelibolu;40,41;26,67;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2367;;"Silivri; Tekfurdağı, 15 Ca. 1270";Tatavla;41,06;28,98;;;Silivri;41,07;28,25;;;Tekfurdağı;40,98;27,51;15 Ca. 1270;02/10/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2370;Ereğli;reft vilayet, 19 Z. 1270;Tatavla;41,06;28,98;;;Ereğli;37,51;34,05;19 Z. 1270;09/10/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2371;;İskenderiye, 20 Ca. 1265;Tatavla;41,06;28,98;;;İskenderiye;31,2;29,92;20 Ca. 1265;04/04/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2379;Karamürsel;reft vilayet, 19.Ş.1261;Tatavla;41,06;28,98;;;Karamürsel;40,69;29,62;19.Ş.1261;08/28/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2380;;Darıca, 24 B. 1266;Tatavla;41,06;28,98;;;Darıca;40,77;29,39;24 B. 1266;06/03/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2382;;İzmir, 3 S. 1273;Tatavla;41,06;28,98;;;İzmir;38,42;27,14;3 S. 1273;10/10/1856;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2388;;Bükreş, 21 M. 1269;Tatavla;41,06;28,98;;;Bükreş;44,43;26,1;21 M. 1269;10/28/1852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2396;;Silivri, [reft];Tatavla;41,06;28,98;;;Silivri;41,07;28,25;;;Tatavla;41,06;28,98;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2412;Asitane;Ruscuk, B. 1269;Tatavla;41,06;28,98;;;Ruscuk;43,85;25,97;B. 1269;MM/1853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2413;;Silivri, unknown date;Tatavla;41,06;28,98;;;Silivri;41,07;28,25;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2431;Tekfurdağı;Tekfurdağı, 24 S. 1261;Tatavla;41,06;28,98;;;Tekfurdağı;40,98;27,51;24 S. 1261;03/06/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2462;Asitane;Sakız, 9.Ş.1269;Tatavla;41,06;28,98;;;Sakız;38,37;26,14;9.Ş.1269;06/13/1853;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2477;Asitane;Bursa, 6 B. 1250;Tatavla;41,06;28,98;;;Bursa;40,18;29,06;6 B. 1250;10/12/1834;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2479;Asitane;Yalova, 7 Ra. 1271;Tatavla;41,06;28,98;;;Yalova;40,65;29,28;7 Ra. 1271;12/01/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2481;Ban/ Yanya ?;reft vilayet, 26 M. 1261;Tatavla;41,06;28,98;;;Ban/Yanya;39,67;20,85;26 M. 1261;02/08/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2484;Çatalca;reft vilayet, 27.B.1261;Tatavla;41,06;28,98;;;Çatalca;41,14;28,46;27.B.1261;06/06/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2485;Tekfurdağı;Reft Memleket, 6 Ş. 1260;Tatavla;41,06;28,98;;;Tekfurdağı;40,98;27,51;6 Ş. 1260;08/23/1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2490;Tekfurdağı;reft vilayet, 25.Ş.1260;Tatavla;41,06;28,98;;;Tekfurdağı;40,98;27,51;25.Ş.1260;09/11/1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2491;Manastır;reft vilayet, 13 L. 1266;Tatavla;41,06;28,98;;;Manastır;40,99;21,43;13 L. 1266;08/15/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2492;manastır;reft memleket, 30 L. 1264;Tatavla;41,06;28,98;;;Manastır;40,99;21,43;30 L. 1264;09/01/1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2493;Ohri;reft vilayet, 1.Za.1261;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;1.Za.1261;11/12/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2494;Ohri;reft vilayet, 15 S. 1261;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;15 S. 1261;02/23/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2495;Ohri;reft vilayet, 19 L. 1261;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;19 L. 1261;09/23/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2496;Ohri;reft vliayet, 16 R. 1264;Tatavla;41,06;28,98;;;Ohri;41,12;20,8;16 R. 1264;04/28/1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2497;;reft, 16.Ca.1263;Tatavla;41,06;28,98;;;Tatavla;41,06;28,98;16.Ca.1263;05/28/1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2498;;reft memleket, 24 Ş. 1270;Tatavla;41,06;28,98;;;Tatavla;41,06;28,98;24 Ş. 1270;06/30/1854;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2499;Trabzon;reft memleket, 10.Ş.1261;Tatavla;41,06;28,98;;;Trabzon;41;39,73;10.Ş.1261;07/18/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2501;Filibeli;reft vilayet, 10 C. 1260;Tatavla;41,06;28,98;;;Filibeli;42,14;24,75;10 C. 1260;06/24/1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2503;Kızanlık;reft, 30 B. 1260;Tatavla;41,06;28,98;;;Tatavla;41,06;28,98;30 B. 1260;06/30/1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2504;Kesriye;reft vilayet, 28 B. 1263;Tatavla;41,06;28,98;;;Kesriye;40,52;21,27;28 B. 1263;06/11/1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2505;Kesriye;reft vilayet, ;Tatavla;41,06;28,98;;;Kesriye;40,52;21,27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2506;Yanyalı;reft memleket, 7 B. 1263;Tatavla;41,06;28,98;;;Yanyalı;39,67;20,85;7 B. 1263;05/21/1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2508;Mezraklı;reft memleket, 15 L. 1264;Tatavla;41,06;28,98;;;Mezraklı;39,92;32,85;15 L. 1264;08/17/1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2510;Yanyalı;reft memleket, 7 L. 1260;Tatavla;41,06;28,98;;;Yanya;39,67;20,85;7 L. 1260;10/25/1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2512;Kalkandelen;reft memleket, 11 B. 1261;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;11 B. 1261;06/30/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2513;Kalkandelen;reft memleket, 7 Ca. 1261;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;7 Ca. 1261;05/11/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2515;Kalkandelen;reft vilayet, 25 C. 1260;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;25 C. 1260;04/20/1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2516;Kalkandelen;nakli vilayet, 28 Za. 1260;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;28 Za. 1260;11/09/1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2519;Kalkandelen;reft vilayet, 28 Za. 1260;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;28 Za. 1260;11/09/1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2520;Bane ?;reft memleket, 7 B. 1263;Tatavla;41,06;28,98;;;Bane;;;7 B. 1263;06/21/1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2521;Yanyalı;reft vilayet, 18 S. 1266;Tatavla;41,06;28,98;;;Yanya;39,67;20,85;18 S. 1266;01/01/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2522;Kesriye;reft vilayet, 17.Ş.1268;Tatavla;41,06;28,98;;;Kesriye;40,52;21,27;17.Ş.1268;07/01/1852;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2523;Kalkandelen;reft memleket, 13 B. 1261;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;13 B. 1261;06/02/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2525;Kalkandelen;reft vilayet, 15 C. 1260;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;15 C. 1260;04/10/1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2526;Yanyalı;reft vilayet, 15 S. 1268;Tatavla;41,06;28,98;;;Yanya;39,67;20,85;15 S. 1268;12/01/1851;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2527;Kalkandelen;reft vilayet, M, 1263;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;M, 1263;12/1846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2528;Kalkandelen;reft vilayet, 21 N. 1261;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;21 N. 1261;08/28/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2529;Kalkandelen;reft vilayet, 12 L. 1263;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;12 L. 1263;09/01/1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2530;Üsküb;reft vilayet, 5.Ş.1264;Tatavla;41,06;28,98;;;Üsküb;41,99;21,43;5.Ş.1264;07/10/1848;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2531;Kalkandelen;reft vilayet, 17 Za. 1260;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;17 Za. 1260;11/28/1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2532;Kalkandelen;reft memleket, 27 Ca. 1263;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;27 Ca. 1263;03/25/1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2534;Kalkandelen;reft vilayet, 29 Z. 1260;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;29 Z. 1260;02/09/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2535;Kalkandelen;reft vilayet, 23 L. 1261;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;23 L. 1261;10/28/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2538;Kalkandelen;reft vilayet, 13 Za. 1260;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;13 Za. 1260;11/24/1844;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2539;Kalkandelen;reft vilayet, 17 Za. 1261;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;17 Za. 1261;11/06/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2540;Mazarak;reft vilayet, 26 B. 1265;Tatavla;41,06;28,98;;;Mazarak;41,12;20,97;26 B. 1265;06/17/1849;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2541;Mazarak;reft vilayet, 26 B. 1266;Tatavla;41,06;28,98;;;Mazarak;41,12;20,97;26 B. 1266;06/06/1850;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2542;Kalkandelen;reft memleket, 8 Ş. 1263;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;8 Ş. 1263;07/22/1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2543;Kalkandelen;reft vilayet, 26.C.1262;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;26.C.1262;06/30/1846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2544;Kalkandelen;reft vilayet, 29 Z. 1261;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;29 Z. 1261;02/19/1846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2546;Kalkandelen;reft memleket, 12.Ra.1262;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;12.Ra.1262;03/31/1846;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2547;Kalkandelen;reft vilayet, 12.C.1263;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;12.C.1263;04/10/1847;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2548;Kalkandelen;reft vilayet, 121.R.1261;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;121.R.1261;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2549;Kalkandelen;reft vilayet, 17.Ca.1261;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;17.Ca.1261;05/27/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Defter 2551;Kalkandelen;reft vilayet, 28 M. 1261;Tatavla;41,06;28,98;;;Kalkandelen;41,97;21,01;28 M. 1261;02/28/1845;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
